"Course","Total
Conflicts","Course
Enrollment","Course
Limit","Class","Meeting Time","Availability
Conflicts","% of Total
Conflicts","Time
Conflicts","% of Total
Conflicts","Class
Enrollment","Class
Limit","Conflicting
Class","Conflicting
Meeting Time","Joined
Conflicts","% of Total
Conflicts"
" C2","18","200","","P2 S5","F 0:10a - 0:15a","18,0000","1,0000","","","200","200"

" C3","38","200","","P3 S6","F 0:05a - 0:10a","38,0000","1,0000","","","200","200"

