"Course","Total
Conflicts","Course
Enrollment","Course
Limit","Class","Meeting Time","Availability
Conflicts","% of Total
Conflicts","Class
Enrollment","Class
Limit","Class
Potential"
" C2","18","200","","P2 S5","F 0:05a - 0:10a","18,0000","1,0000","200","200","18"

" C3","38","200","","P3 S6","F 0:00a - 0:05a","38,0000","1,0000","200","200","38"

