"UnasgnCrs","ConflCrs","NrStud","StudWeight","NoAlt","Reason"
" C16"," C4","8,000","8,000","Y","P16 W 9:35a - 12:35p  vs P4 W 9:35a - 12:35p "
" C5"," C4","1,000","1,000","Y","P5 W 9:35a - 12:35p  vs P4 W 9:35a - 12:35p "
