"Course","Class","Meeting Time","Enrollment","Target","Limit","Disbalance [%]"
"O7","P7 S16","M 2:10p - 5:10p","32","37,0000","48","-0,1042"
"","P7 S17","T 2:10p - 5:10p","48","37,0000","48","0,2292"
"","P7 S19","F 2:10p - 5:10p","32","37,0000","48","-0,1042"
